"","obs_rep1","obs_rep2","obs_rep3"
"12",0,0,0
"157",0.0285714285714286,0.363636363636364,0.0285714285714286
"160",0.0571428571428571,0.454545454545455,0.0571428571428571
"163",0.0857142857142857,0.545454545454545,0.0857142857142857
"164",0.114285714285714,0.636363636363636,0.114285714285714
"185",0.142857142857143,0.727272727272727,0.142857142857143
"187",0.171428571428571,0.818181818181818,0.171428571428571
"188",0.2,0.909090909090909,0.2
"190",0.228571428571429,1,0.228571428571429
"191",0.257142857142857,0.0909090909090909,0.257142857142857
"192",0.285714285714286,0.181818181818182,0.285714285714286
"193",0.314285714285714,0.272727272727273,0.314285714285714
"224",0.342857142857143,0,0.342857142857143
"225",0.371428571428571,0.363636363636364,0.371428571428571
"227",0.4,0.454545454545455,0.4
"230",0.428571428571429,0.545454545454545,0.428571428571429
"248",0.457142857142857,0.636363636363636,0.457142857142857
"29",0.485714285714286,0.727272727272727,0.485714285714286
"30",0.514285714285714,0.818181818181818,0.514285714285714
"306",0.542857142857143,0.909090909090909,0.542857142857143
"308",0.571428571428571,1,0.571428571428571
"31",0.6,0.0909090909090909,0.6
"35",0.628571428571429,0.181818181818182,0.628571428571429
"39",0.657142857142857,0.272727272727273,0.657142857142857
"407",0.685714285714286,0,0.685714285714286
"409",0.714285714285714,0.363636363636364,0.714285714285714
"411",0.742857142857143,0.454545454545455,0.742857142857143
"412",0.771428571428571,0.545454545454545,0.771428571428571
"43",0.8,0.636363636363636,0.8
"45",0.828571428571429,0.727272727272727,0.828571428571429
"49",0.857142857142857,0.818181818181818,0.857142857142857
"50",0.885714285714286,0.909090909090909,0.885714285714286
"51",0.914285714285714,1,0.914285714285714
"53",0.942857142857143,0.0909090909090909,0.942857142857143
"81",0.971428571428571,0.181818181818182,0.971428571428571
"83",1,0.272727272727273,1
