"","pH","moisture","canopy","elevation","substrate"
"R001",-1.6289810949281,-0.958537759517011,-0.27537502051578,-1.66102649256687,"decay_1"
"R002",-1.63063933486591,-1.12214899080001,-0.106418549249906,-1.56611069299162,"decay_1"
"R003",-0.485792649435475,-0.563550868681089,0.715749413823738,-1.47119489341637,"decay_2"
"R004",-0.468624988902848,0.511653751370934,1.14843018715217,-1.37627909384112,"decay_2"
"R005",-0.495200180585928,-1.47781757684846,0.361360548727761,-1.28136329426587,"decay_2"
"R006",-0.461894485625853,0.825056189165643,-1.33141932819645,-1.18644749469062,"decay_2"
"R007",-1.62869930252037,-0.931866605561371,0.928004860909642,-1.09153169511537,"decay_1"
"R008",-1.61270216429679,0.223662541796796,0.0571076045317813,-0.996615895540124,"decay_1"
"R009",-1.63072604022214,-1.13103594916799,-3.0591911577133,-0.901700095964874,"decay_1"
"R010",-0.501237041013121,-2.34611320684022,0.788425831421574,-0.806784296389624,"decay_2"
"R011",-0.472299128372899,0.320429206594362,-1.01170701084845,-0.711868496814374,"decay_2"
"R012",1.80045418351545,0.0581544527460956,1.00566391258305,-0.616952697239124,"decay_4"
"R013",1.79407050166335,-0.368295205387912,1.06764903704232,-0.522036897663875,"decay_4"
"R014",0.669458678742011,0.482796019089126,-1.41656373846255,-0.427121098088625,"decay_3"
"R015",1.81311316552435,0.722347837081999,-0.835461271925116,-0.332205298513375,"decay_4"
"R016",0.679299736673593,0.93279480960982,0.685516581109319,-0.237289498938125,"decay_3"
"R017",0.694158867096717,1.47842011287094,-0.489244974329104,-0.142373699362875,"decay_3"
"R018",-0.492707401594449,-1.1976707706914,-0.603371575500141,-0.0474578997876249,"decay_2"
"R019",0.671647988986703,0.590876108835003,0.602835556753344,0.0474578997876249,"decay_3"
"R020",0.662424706718227,0.096131828313802,1.14078375159229,0.142373699362875,"decay_3"
"R021",-0.444304136481629,1.48478123486097,-1.58616288368011,0.237289498938125,"decay_2"
"R022",-1.59368117677484,1.10592375504831,0.814633392353354,0.332205298513375,"decay_1"
"R023",0.668970961113244,0.458003804071136,1.16919188145684,0.427121098088625,"decay_3"
"R024",0.685553360491349,1.17852397700382,0.655678690566628,0.522036897663875,"decay_3"
"R025",0.667529484565997,0.383110600089251,-0.541321268116743,0.616952697239124,"decay_3"
"R026",-0.494560728583766,-1.40260249413616,0.777966032731792,0.711868496814374,"decay_2"
"R027",0.658457936670916,-0.154869426467682,-0.10179492291578,0.806784296389624,"decay_3"
"R028",-0.444921912144734,1.46457642165662,1.09327177489567,0.901700095964874,"decay_2"
"R029",0.653353158823146,-0.524842624709647,0.608267909537779,0.996615895540124,"decay_3"
"R031",-0.490843236435603,-1.00861281841038,0.543599608497047,1.09153169511537,"decay_2"
"R032",0.655954319509908,-0.328826623144617,-1.75124406133702,1.18644749469062,"decay_3"
"R033",-0.483592501021255,-0.393918881538415,-0.579625059385529,1.28136329426587,"decay_2"
"R034",0.644184067402312,-1.3925924551981,-0.379991679168823,1.37627909384112,"decay_3"
"R035",0.681694972139319,1.03007096107279,-0.0812448849162315,1.47119489341637,"decay_3"
"R036",0.676568517952493,0.816553577452321,-0.463266589727902,1.56611069299162,"decay_3"
"R037",0.684512896216644,1.13943506837075,0.449267400302834,1.66102649256687,"decay_3"
